gene_idx,count
1,1
4,2
5,1
6,1
8,1
10,4
11,1
12,1
13,2
14,2
15,1
16,1
18,1
19,1
20,1
22,1
25,1
28,2
29,2
30,1
31,1
34,1
35,1
37,1
38,2
39,2
42,1
43,6
44,1
46,2
47,1
49,2
50,4
52,1
53,1
54,1
55,1
56,1
57,1
58,2
59,1
65,2
68,2
73,1
75,1
76,1
77,3
78,1
80,2
81,2
82,1
83,2
84,3
85,1
86,1
87,1
88,3
90,1
91,1
94,1
95,1
97,1
98,2
99,2
105,2
106,1
107,1
108,2
109,1
112,2
113,1
114,1
117,1
118,2
120,1
121,1
122,1
124,1
125,2
126,2
127,3
129,3
130,1
132,1
133,2
134,3
136,1
137,1
139,1
140,3
141,3
142,1
143,2
144,2
145,1
146,1
150,1
151,2
155,1
156,1
157,3
158,2
160,1
162,1
163,1
164,1
165,2
166,2
168,2
169,1
170,1
171,1
172,1
174,1
176,2
178,2
181,1
182,1
183,1
185,1
186,2
187,2
189,1
191,1
196,2
198,3
200,2
202,2
203,1
204,1
205,1
206,1
210,3
211,2
212,2
213,1
214,1
215,1
216,1
218,1
219,3
220,2
222,6
223,3
224,1
225,2
226,3
228,1
230,1
233,2
234,1
236,3
237,1
239,2
240,1
241,2
244,2
245,1
246,1
247,1
248,2
249,1
250,2
251,1
252,1
253,1
255,1
256,4
257,2
258,1
259,2
261,1
264,2
265,1
266,2
267,1
268,1
269,2
270,1
271,1
272,1
275,2
276,3
277,1
278,1
279,1
281,1
282,7
284,2
286,1
287,2
288,1
292,1
293,1
294,1
295,2
296,2
300,1
301,1
303,1
305,1
308,1
309,1
311,2
312,1
313,2
315,1
319,2
323,4
324,1
325,1
326,2
328,1
329,1
330,1
331,1
332,2
334,4
335,3
336,2
338,2
340,2
341,3
342,3
345,1
346,1
348,1
349,1
350,1
352,2
353,1
354,3
356,2
357,1
358,1
359,3
361,1
364,1
367,5
369,1
370,2
371,2
375,1
377,2
380,1
382,1
385,2
386,1
387,1
388,1
389,1
391,1
392,2
394,1
397,1
400,3
403,1
404,3
405,1
406,1
407,1
408,1
410,3
411,1
415,1
416,2
419,1
420,1
421,1
423,1
425,3
427,1
429,1
430,1
432,2
434,1
435,2
438,1
439,2
440,1
441,2
442,1
443,1
444,4
447,1
448,1
449,2
452,1
454,1
457,1
458,2
459,4
460,2
461,1
466,1
467,1
468,2
469,4
470,1
471,2
473,1
475,2
478,1
479,1
481,1
483,3
484,2
485,1
486,1
489,1
491,2
494,2
496,1
499,2
501,3
502,2
505,2
506,1
507,1
508,1
510,1
512,1
513,1
514,1
515,2
519,2
520,3
525,1
526,3
527,1
531,2
532,1
534,1
535,2
537,2
538,1
539,1
541,1
542,2
544,2
545,1
546,1
547,2
548,1
550,1
551,1
552,2
553,1
555,1
557,2
558,2
559,1
561,1
562,1
565,1
566,1
567,1
568,2
569,1
570,1
572,1
576,2
577,1
579,1
580,1
583,4
584,3
585,2
587,1
588,3
589,2
590,1
591,1
592,1
593,3
595,2
597,3
598,1
600,2
602,2
603,1
604,2
605,1
606,2
607,1
611,4
612,2
614,2
615,1
618,2
619,1
621,2
628,1
629,3
630,1
631,1
632,1
633,2
635,3
636,1
637,1
638,2
641,2
642,1
643,2
645,1
646,2
648,2
651,1
653,1
654,1
655,3
656,1
657,2
658,3
659,1
660,1
661,5
663,1
664,1
666,3
667,2
669,1
671,2
677,1
678,1
679,1
685,2
686,2
687,1
688,1
689,1
690,1
691,2
696,2
697,2
698,1
699,1
700,1
701,2
702,1
703,3
705,1
706,2
708,4
709,2
711,1
713,1
715,1
717,1
718,3
719,3
720,1
721,1
723,1
725,3
726,1
727,1
728,4
729,2
731,1
732,2
735,1
738,1
739,2
740,2
741,1
742,1
743,1
744,2
745,1
747,4
750,2
751,1
752,1
754,1
755,1
756,1
757,3
758,1
759,2
760,2
761,1
764,1
766,3
767,3
768,1
770,1
772,1
774,1
775,1
776,3
777,1
778,1
781,2
782,1
783,2
784,1
785,1
786,1
787,1
789,1
790,2
791,1
793,1
794,3
795,3
796,3
797,3
799,1
800,2
803,1
805,1
806,1
808,3
812,1
813,2
814,1
815,2
816,1
817,1
818,2
820,1
821,1
822,2
823,2
824,1
825,2
826,2
830,1
831,1
834,1
835,5
836,3
837,1
838,2
840,1
841,2
842,2
843,1
847,1
848,2
851,3
854,1
857,3
858,3
860,5
862,1
865,1
866,1
867,2
869,1
870,3
872,4
873,1
874,1
875,2
876,1
881,3
883,2
886,3
887,3
888,3
889,3
891,1
892,2
896,1
898,1
900,2
901,1
903,1
904,2
905,2
906,1
907,2
908,2
909,2
910,1
911,1
913,3
914,1
916,1
917,2
919,1
920,2
922,1
924,2
928,1
929,1
930,2
931,2
933,1
934,1
935,1
936,1
937,3
942,1
945,4
946,1
947,1
948,1
949,1
950,1
951,2
953,1
954,1
957,2
958,1
959,1
960,1
961,1
963,1
964,1
966,3
967,1
968,1
970,1
971,1
972,1
975,1
977,2
982,2
987,3
988,3
991,3
992,1
993,1
995,1
996,2
998,1
1000,1
1002,1
1003,2
1004,3
1006,2
1007,1
1011,1
1013,2
1014,2
1015,1
1017,1
1018,1
1020,1
1023,2
1024,1
1025,3
1028,1
1029,1
1030,2
1033,2
1034,1
1035,1
1037,1
1038,1
1039,2
1040,1
1041,2
1042,1
1043,2
1044,1
1047,2
1048,1
1051,2
1052,1
1053,1
1054,2
1056,1
1058,2
1059,1
1060,1
1061,3
1062,1
1067,2
1069,2
1070,3
1071,2
1072,2
1074,2
1078,1
1079,1
1082,3
1083,1
1084,1
1085,4
1086,3
1088,2
1089,2
1096,4
1097,2
1099,1
1101,1
1103,1
1104,2
1107,1
1109,1
1112,1
1113,1
1114,1
1115,1
1116,1
1118,3
1119,1
1120,4
1121,2
1123,2
1124,2
1125,3
1126,2
1127,1
1128,2
1129,1
1132,1
1134,1
1135,3
1136,2
1138,1
1139,2
1140,4
1142,3
1147,2
1150,1
1151,4
1152,3
1153,1
1154,2
1155,2
1158,2
1164,2
1165,3
1166,1
1169,1
1170,1
1172,1
1173,1
1175,2
1176,1
1177,1
1179,1
1180,3
1181,4
1182,1
1183,1
1184,3
1185,1
1188,1
1189,2
1195,1
1196,1
1197,1
1198,2
1199,2
1200,2
1201,2
1204,2
1205,2
1207,4
1208,1
1209,1
1213,3
1215,1
1217,1
1220,1
1221,1
1222,2
1223,3
1224,1
1226,1
1227,1
1228,2
1229,1
1230,1
1232,2
1235,1
1236,1
1237,2
1238,2
1239,2
1240,1
1241,1
1242,1
1243,2
1244,1
1246,1
1248,1
1249,1
1250,2
1251,2
1252,2
1254,1
1255,3
1256,1
1258,1
1260,1
1261,3
1265,1
1266,1
1269,1
1271,4
1273,1
1274,3
1275,1
1276,3
1278,1
1279,1
1280,1
1281,2
1283,1
1284,1
1286,3
1290,1
1291,1
1293,1
1294,1
1295,3
1296,1
1297,1
1299,1
1300,2
1301,1
1302,1
1303,1
1305,1
1306,1
1307,1
1308,3
1310,1
1312,1
1314,1
1315,2
1317,1
1318,3
1319,2
1322,3
1323,2
1326,1
1328,2
1329,1
1330,1
1331,2
1332,1
1334,2
1336,2
1337,1
1338,1
1339,2
1340,1
1341,3
1342,1
1343,2
1344,1
1345,1
1346,2
1349,4
1350,1
1352,2
1353,2
1354,1
1355,3
1356,1
1357,3
1360,1
1362,1
1363,2
1365,2
1367,2
1369,1
1370,2
1371,1
1373,2
1374,3
1375,1
1376,1
1377,1
1379,3
1380,2
1381,2
1382,1
1383,1
1384,1
1385,1
1386,1
1387,1
1389,1
1391,1
1392,1
1393,1
1394,1
1396,1
1397,3
1398,1
1400,1
1405,2
1406,2
1408,1
1409,3
1412,3
1413,1
1415,1
1417,1
1418,2
1420,1
1421,1
1422,2
1424,1
1425,1
1431,3
1432,1
1433,1
1435,1
1436,1
1437,1
1438,1
1439,1
1443,1
1445,1
1446,1
1447,1
1448,1
1450,2
1453,2
1454,1
1457,1
1458,2
1459,1
1460,1
1461,1
1465,1
1466,1
1467,3
1468,2
1469,1
1470,2
1472,1
1473,1
1474,1
1476,1
1477,3
1478,1
1481,2
1482,1
1483,2
1484,1
1485,1
1486,1
1487,2
1490,1
1492,3
1493,2
1495,3
1496,2
1497,1
1499,1
1501,1
1502,2
1503,2
1504,3
1505,1
1506,2
1508,2
1509,1
1510,1
1512,1
1513,1
1515,3
1518,3
1519,1
1520,2
1521,1
1522,1
1523,2
1525,1
1526,2
1527,1
1528,1
1529,2
1530,1
1534,1
1537,1
1538,3
1539,1
1540,1
1541,1
1542,4
1543,1
1544,3
1545,2
1548,2
1549,1
1550,1
1551,1
1552,1
1554,1
1557,1
1558,2
1559,1
1564,1
1565,1
1566,1
1568,6
1570,4
1571,1
1572,2
1573,4
1575,3
1576,2
1578,1
1580,1
1583,2
1584,1
1585,1
1586,1
1587,1
1588,2
1589,1
1591,2
1592,2
1594,2
1596,2
1598,3
1600,1
1601,4
1604,2
1605,1
1608,1
1610,1
1611,1
1612,2
1613,1
1614,1
1615,1
1616,2
1618,2
1619,2
1621,4
1622,1
1623,1
1625,1
1626,2
1627,1
1628,3
1630,1
1631,2
1633,1
1634,1
1635,4
1638,2
1641,2
1642,3
1643,1
1644,1
1645,1
1646,1
1647,1
1648,1
1650,2
1651,1
1652,3
1653,1
1654,3
1655,1
1661,1
1662,1
1663,2
1668,1
1669,2
1670,1
1673,1
1674,1
1676,1
1677,1
1678,1
1679,2
1680,4
1684,2
1687,1
1688,2
1690,1
1691,1
1692,1
1693,3
1695,2
1696,1
1697,2
1700,1
1701,2
1703,2
1704,1
1705,2
1706,1
1707,2
1708,2
1709,2
1710,1
1711,1
1712,1
1713,2
1714,2
1715,1
1716,1
1717,4
1718,1
1721,1
1722,2
1725,4
1726,1
1727,1
1730,1
1736,2
1738,2
1745,2
1746,2
1747,2
1748,1
1750,1
1751,1
1756,1
1758,1
1760,1
1762,1
1763,1
1764,1
1767,1
1771,2
1773,1
1775,1
1776,1
1779,1
1780,1
1782,1
1784,2
1785,1
1787,1
1789,1
1790,3
1791,1
1793,1
1795,1
1796,2
1797,1
1798,1
1800,3
1801,1
1802,2
1803,2
1804,2
1805,3
1806,2
1807,1
1808,2
1810,1
1813,1
1815,1
1816,1
1818,1
1819,1
1823,2
1824,2
1826,2
1828,2
1829,1
1830,2
1831,3
1832,1
1833,2
1835,1
1836,2
1838,2
1839,2
1840,1
1841,2
1842,1
1844,2
1845,3
1846,2
1847,1
1848,1
1850,1
1851,2
1852,4
1854,1
1855,2
1858,2
1860,4
1862,2
1865,1
1867,1
1870,1
1871,2
1873,2
1874,1
1875,1
1876,1
1878,1
1879,1
1881,2
1883,2
1884,1
1885,1
1888,2
1889,3
1890,1
1891,1
1892,2
1894,2
1895,2
1896,2
1897,1
1899,1
1900,1
1901,1
1902,2
1903,1
1904,3
1905,2
1906,2
1907,2
1908,1
1909,1
1910,2
1911,1
1912,1
1914,1
1915,2
1918,2
1919,2
1921,2
1922,1
1923,2
1924,1
1925,2
1926,2
1931,1
1934,1
1936,3
1937,1
1938,1
1940,1
1944,1
1945,1
1946,1
1947,2
1949,1
1950,2
1953,1
1954,1
1955,3
1957,2
1958,2
1962,1
1963,1
1964,1
1966,2
1967,2
1969,2
1970,2
1971,1
1972,1
1973,2
1976,1
1977,1
1978,3
1979,1
1981,2
1982,1
1984,2
1985,1
1986,2
1987,3
1988,2
1989,2
1990,1
1991,2
1993,1
1994,2
1996,1
1997,1
1998,1
